title,date,public,duration,note,synopsis,genre,actors,Origin language,Origin country,Origin title,number saison,number episode
Planet Earth II,2016,TV-G,"4, ,hours, ,58, ,minutes",9.5,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,Documentary,"David Attenborough,Elizabeth White,Michael J. Sanderson,Emma Napper,Pete McCowen,Barrie Britton,Thomas Crowley,Jerome Poncet,Max Hug Williams,Aaron Durogati,Armin Holtze,Jon Griffith,Juarez Sena Feitoza,Emma Brennand,J.P. Magnan","English,French","United Kingdom,Germany,France,China,United States",,,6
Nathan for You,2013–2017,TV-14,"30, ,minutes",8.9,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often dr..., ","Documentary,Comedy","Nathan Fielder,Anthony Filosa,Brian S. Wolfe,Simon Kellog,William Heath,Salomon Flores,Tony Napoli,James Bailey,Sue Stanford,Cornelius Ladd,Kyle Heitz,Billy Smalling,Marcos Mateo Ochoa,Andy Farshidian,Jason Stone,Corey Calderwood,H. Jon Benjamin,Jennifer Anderton",English,United States,,4 seasons,32
Orgueil et préjugés,1995,TV-PG,"5, ,hours, ,27, ,minutes",8.8,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.","Drama,Romance","Colin Firth,Jennifer Ehle,Susannah Harker,Julia Sawalha,Alison Steadman,Benjamin Whitrow,Crispin Bonham-Carter,Polly Maberly,Lucy Briers,Anna Chancellor,Lucy Robinson,Adrian Lukis,David Bamber,Lucy Scott,Lucy Davis,Emilia Fox,Marlene Sidaway,Barbara Leigh-Hunt",English,United Kingdom,Original title: Pride and Prejudice,,6
La Forêt de l'Étrange,2014,TV-PG,"22, ,minutes",8.8,Two brothers find themselves lost in a mysterious land and try to find their way home.,"Animation,Adventure,Drama,Family,Fantasy,Horror,Musical,Mystery,Thriller","Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloyd,Samuel Ramey,Jack Jones,John Cleese,Emily Brundige,Shirley Jones,Fred Stoller,Cole Sanchez,Sam Marin,Chris Isaak,Janet Klein,Tim Curry,Noureen DeWulf,Bebe Neuwirth,Deborah Voigt",English,United States,Original title: Over the Garden Wall,,10
Twin Peaks,1990–1991,Tous publics,"47, ,minutes",8.8,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"Crime,Drama,Mystery,Thriller","Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,Richard Beymer,Lara Flynn Boyle,Sherilyn Fenn,Warren Frost,Peggy Lipton,James Marshall,Everett McGill,Jack Nance,Joan Chen,Kimmy Robertson,Michael Horse,Piper Laurie,Harry Goaz,Eric DaRe","English,Icelandic,Afrikaans,Norwegian",United States,,2 seasons,30
Kota Factory,2019–2021,13,"45, ,minutes",9.2,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day ..., ","Comedy,Drama","Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,Revathi Pillai,Urvi Singh,Harish Peddinti,Ahsaas Channa,Sameer Saxena,Vaibhav Thakkar,Arun Kumar,Abhishake Jha,Sachin Vidrohi,Jyoti Gauba,Rajesh Kumar,Abhaya Sharma,Jaiti Khera,Avi Singh",Hindi,India,,2 seasons,10
Friends,1994–2004,Tous publics,"22, ,minutes",8.8,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"Comedy,Romance","Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,Matthew Perry,David Schwimmer,James Michael Tyler,Elliott Gould,Christina Pickles,Maggie Wheeler,Paul Rudd,Jane Sibbett,Helen Baxendale,Jessica Hecht,June Gable,Tom Selleck,Aisha Tyler,Giovanni Ribisi","English,Spanish,Italian,French,Dutch,Hebrew",United States,,10 seasons,235
Dexter: New Blood,2021– ,TV-MA,,9.0,"Set 10 years after Dexter Morgan went missing in the eye of Hurricane Laura, he is now living under an assumed name in Upstate New York, Iron Lake, far from his original home in Miami.","Crime,Drama,Mystery","Michael C. Hall,Jack Alcott,Julia Jones,Johnny Sequoyah,Alano Miller,Jennifer Carpenter,David Magidoff,Clancy Brown,Michael Cyril Creighton,Katy Sullivan,Steve M. Robertson,Oscar Wahlberg,Andrew Fama,Dustin Tucker,Dee Nelson,Armen Garo,Fredric Lehne,Gizel Jimenez",English,United States,,,10
"Monty Python's Flying Circus ; Absurde, n'est-il pas?",1969–1974,Tous Public,"30, ,minutes",8.8,The original surreal sketch comedy showcase for the Monty Python troupe.,Comedy,"Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin,Carol Cleveland,Monty Python,Ian Davidson,John Hughman,The Fred Tomlinson Singers,Bob Raymond,Connie Booth,Lyn Ashley,Frank Lester,Rita Davies,Maureen Flanagan,Donna Reading","English,Arabic,French,German,Italian,Mandarin,Spanish",United Kingdom,Original title: Monty Python's Flying Circus,4 seasons,45
Souvenirs de Gravity Falls,2012–2016,Tous publics,"23, ,minutes",8.9,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.","Animation,Action,Adventure,Comedy,Drama,Family,Fantasy,Horror,Mystery,Sci-Fi,Thriller","Jason Ritter,Alex Hirsch,Kristen Schaal,Linda Cardellini,Kevin Michael Richardson,Matt Chapman,Kari Wahlgren,John DiMaggio,Keith Ferguson,Gregg Turkington,Jennifer Coolidge,Carl Faruolo,Niki Yang,Dee Bradley Baker,T.J. Miller,Will Forte,Grey Griffin,Thurop Van Orman",English,United States,Original title: Gravity Falls,2 seasons,40
